Date,BTC_Close,ETH_Close,^GSPC_Adj Close,^DJI_Adj Close,^IXIC_Adj Close,^RUT_Adj Close
2013-04-29,144.5399932861328,,1593.6099853515625,14818.75,3307.02001953125,942.4299926757812
2013-04-30,139.0,,1597.5699462890625,14839.7998046875,3328.7900390625,947.4600219726562
2013-05-01,116.98999786376952,,1582.699951171875,14700.9501953125,3299.1298828125,924.2100219726562
2013-05-02,105.20999908447266,,1597.5899658203125,14831.580078125,3340.6201171875,939.8499755859375
2013-05-03,97.75,,1614.4200439453125,14973.9599609375,3378.6298828125,954.4199829101562
2013-05-04,112.5,,1614.4200439453125,14973.9599609375,3378.6298828125,954.4199829101562
2013-05-05,115.91000366210938,,1614.4200439453125,14973.9599609375,3378.6298828125,954.4199829101562
2013-05-06,112.3000030517578,,1617.5,14968.8896484375,3392.969970703125,959.7999877929688
2013-05-07,111.5,,1625.9599609375,15056.2001953125,3396.6298828125,967.8200073242188
2013-05-08,113.56600189208984,,1632.68994140625,15105.1201171875,3413.27001953125,970.4099731445312
2013-05-09,112.66999816894533,,1626.6700439453125,15082.6201171875,3409.169921875,966.260009765625
2013-05-10,117.1999969482422,,1633.699951171875,15118.490234375,3436.580078125,975.1599731445312
2013-05-11,115.24299621582033,,1633.699951171875,15118.490234375,3436.580078125,975.1599731445312
2013-05-12,115.0,,1633.699951171875,15118.490234375,3436.580078125,975.1599731445312
2013-05-13,117.9800033569336,,1633.77001953125,15091.6796875,3438.7900390625,973.7899780273438
2013-05-14,111.5,,1650.3399658203125,15215.25,3462.610107421875,985.9600219726562
2013-05-15,114.22000122070312,,1658.780029296875,15275.6904296875,3471.6201171875,988.5399780273438
2013-05-16,118.76000213623048,,1650.469970703125,15233.2197265625,3465.239990234375,985.3400268554688
2013-05-17,123.01499938964844,,1667.469970703125,15354.400390625,3498.969970703125,996.280029296875
2013-05-18,123.4980010986328,,1667.469970703125,15354.400390625,3498.969970703125,996.280029296875
2013-05-19,121.98999786376952,,1667.469970703125,15354.400390625,3498.969970703125,996.280029296875
2013-05-20,122.0,,1666.2900390625,15335.2802734375,3496.429931640625,997.97998046875
2013-05-21,122.87999725341795,,1669.1600341796875,15387.580078125,3502.1201171875,998.780029296875
2013-05-22,123.88899993896484,,1655.3499755859375,15307.169921875,3463.300048828125,982.260009765625
2013-05-23,126.6999969482422,,1650.510009765625,15294.5,3459.419921875,984.280029296875
2013-05-24,133.1999969482422,,1649.5999755859375,15303.099609375,3459.139892578125,984.280029296875
2013-05-25,131.97999572753906,,1649.5999755859375,15303.099609375,3459.139892578125,984.280029296875
2013-05-26,133.47999572753906,,1649.5999755859375,15303.099609375,3459.139892578125,984.280029296875
2013-05-27,129.7449951171875,,1649.5999755859375,15303.099609375,3459.139892578125,984.280029296875
